rounds: 1-10, mean reward: -32.459999
rounds: 11-20, mean reward: 10.790001
rounds: 21-30, mean reward: 41.060001
rounds: 31-40, mean reward: 20.200001
rounds: 41-50, mean reward: 31.180002
rounds: 51-60, mean reward: 69.190002
rounds: 61-70, mean reward: 19.759998
rounds: 71-80, mean reward: 43.660004
rounds: 81-90, mean reward: -41.220001
rounds: 91-100, mean reward: -38.134998
rounds: 101-110, mean reward: -31.415003
rounds: 111-120, mean reward: 6.325000
rounds: 121-130, mean reward: 26.010000
rounds: 131-140, mean reward: -10.680000
rounds: 141-150, mean reward: -13.875000
rounds: 151-160, mean reward: -39.674999
rounds: 161-170, mean reward: -54.989998
rounds: 171-180, mean reward: 3.315001
rounds: 181-190, mean reward: 18.254999
rounds: 191-200, mean reward: -54.114998
rounds: 201-210, mean reward: -13.329999
rounds: 211-220, mean reward: -24.965002
rounds: 221-230, mean reward: 27.230000
rounds: 231-240, mean reward: 26.100000
rounds: 241-250, mean reward: 15.834999
rounds: 251-260, mean reward: -35.014999
rounds: 261-270, mean reward: 3.525000
rounds: 271-280, mean reward: 17.004999
rounds: 281-290, mean reward: -24.105000
rounds: 291-300, mean reward: 4.835000
rounds: 301-310, mean reward: -21.869999
rounds: 311-320, mean reward: 3.209999
rounds: 321-330, mean reward: -18.680002
rounds: 331-340, mean reward: -44.285000
rounds: 341-350, mean reward: -10.755000
rounds: 351-360, mean reward: -3.325000
rounds: 361-370, mean reward: 11.510000
rounds: 371-380, mean reward: 12.375000
rounds: 381-390, mean reward: -0.204999
rounds: 391-400, mean reward: -0.395000
rounds: 401-410, mean reward: 18.634998
rounds: 411-420, mean reward: -17.795000
rounds: 421-430, mean reward: -3.785000
rounds: 431-440, mean reward: -10.940000
rounds: 441-450, mean reward: -12.570000
rounds: 451-460, mean reward: -4.839999
rounds: 461-470, mean reward: -11.125000
rounds: 471-480, mean reward: -6.865001
rounds: 481-490, mean reward: 5.945000
rounds: 491-500, mean reward: -21.090000
rounds: 501-510, mean reward: -8.525001
rounds: 511-520, mean reward: -12.414999
rounds: 521-530, mean reward: 0.635001
rounds: 531-540, mean reward: -30.554998
rounds: 541-550, mean reward: 7.970001
rounds: 551-560, mean reward: -32.875000
rounds: 561-570, mean reward: -42.534996
